deployment_mode,scenario,experiment_count,diagnosis_requests,cloud_escalations,escalation_rate,anomaly_events,estimated_cloud_data_bytes,estimated_cloud_data_bytes_per_minute,classifier_accuracy,detection_latency_mean,detection_latency_median,detection_latency_std,detection_latency_p95,diagnosis_latency_mean,diagnosis_latency_median,diagnosis_latency_std,diagnosis_latency_p95,diagnosis_processing_mean,diagnosis_processing_median,diagnosis_processing_std,diagnosis_processing_p95,e2e_latency_mean,e2e_latency_median,e2e_latency_std,e2e_latency_p95,anomaly_ratio_mean,anomaly_ratio_median,anomaly_ratio_std,anomaly_ratio_p95,detector_cpu_mean,detector_peak_cpu,detector_memory_mean_bytes,detector_peak_memory_bytes,classifier_cpu_mean,classifier_peak_cpu,classifier_memory_mean_bytes,classifier_peak_memory_bytes,detector_memory_mean_mb,detector_peak_memory_mb,classifier_memory_mean_mb,classifier_peak_memory_mb
cloud_only,fault_alternate,5,14.0,14.2,1.0,1317.4,2933433.758749365,586646.1599999999,0.9857641902332147,3.4327786065296535,3.3553361892700195,0.5634282312599909,3.8373565673828125,12.215765083537383,12.060433626174927,1.4919372022986672,14.948922395706177,4.390825827916464,4.2137205600738525,0.6664545668986681,5.509963631629943,9761.909853204403,9987.822890281677,679.4094487344942,10045.684549212456,0.4240002240143369,0.579,0.424490272965601,0.9057999999999998,1.59976203678691,2.797849186812453,220615874.32079926,221365043.2,0.467928132852743,2.1612194772504507,257491843.83925885,258191360.0,210.3956931312554,211.11015625,245.56335815359006,246.23046875
cloud_only,fault_free,5,0.0,0.0,,34.0,2956741.1337783793,590186.3999999999,,3.4887706532197837,3.4374237060546875,0.27952823483117534,3.8092660903930664,,,,,,,,,,,,,0.010762096774193548,0.0,0.025817964401755756,0.057699999999999994,1.5828478897721758,2.735464369687526,220787141.3937107,222285004.8,0.4842856839212005,2.1055199593517124,241548879.2150944,247626137.6,210.55902613993712,211.9875,230.358962264151,236.1546875
cloud_only,fault_sustained,5,23.4,23.4,1.0,2220.4,2950733.9104534294,586398.0,0.9877150618751491,3.585390124462024,3.4545421600341797,1.066372163698253,3.9309406280517565,13.841822527456975,13.542628288269043,1.8525596340510304,15.623738765716553,5.095312388046928,4.811215400695801,1.1988182511476426,6.031944751739501,9887.767217038334,9997.176814079285,364.99655381034097,10044.632172584534,0.680875,0.923,0.4169487862795112,0.9968999999999999,1.8160293783325252,2.7203956026754255,222200814.25918108,224171622.4,0.5347313021483109,2.2776686841258016,246035579.28671747,254656512.0,211.90720964353665,213.78671875,234.637812887876,242.859375
edge_only,fault_alternate,5,17.2,17.2,1.0,1618.6,0.0,0.0,0.9849195939752396,4.647314450672417,4.016351699829102,4.058762450673637,6.174843311309813,30.182578497462806,20.444536209106445,33.39033781337734,72.12975263595574,11.400688999618582,7.375359535217285,13.517009394150316,31.00778818130491,9775.048485125591,10013.146352767944,631.7481005201835,10098.55414390564,0.5004092741935484,0.751,0.4551554936303853,0.9868,5.168851543100965,19.35675900753057,243912999.93046847,244834304.0,1.562696017950886,13.507456282187707,265246318.78816414,272007168.0,232.61356347128722,233.4921875,252.9586017495767,259.40625
edge_only,fault_free,5,0.0,0.0,,34.0,0.0,0.0,,4.799430510577034,4.022455215454102,2.3173538434239966,9.545242786407469,,,,,,,,,,,,,0.010625,0.0,0.027169953107905702,0.052700000000000004,4.685186509802234,17.465752066285443,257192412.18812513,259375923.2,1.3859126630170533,10.471666558435883,338246259.38770735,343262822.4,245.27779787838472,247.36015625,322.57677019854293,327.3609375
edge_only,fault_sustained,5,23.4,23.4,1.0,2215.8,0.0,0.0,0.9874507772826371,4.780626001507224,4.010772705078125,4.499158272418314,6.858420372009279,28.99171027584352,20.538663864135742,33.111774062620995,46.705839633941636,11.512338596841563,7.272052764892578,16.92429978974329,20.014171600341786,9935.957240885582,10015.2086019516,354.4502060917391,10073.627896308899,0.6875927419354839,0.9349999999999999,0.4158155051301173,1.0,5.41848024319879,22.70689047123115,257921509.38301092,259860070.4,1.6224040598437344,17.615888416631737,351101495.52475125,359317504.0,245.97311914731114,247.821875,334.8364787337792,342.671875
hybrid,fault_alternate,5,17.4,17.4,1.0,1609.6,1522289.208,303866.17604833393,0.9852501395999278,5.065115934559744,4.2296648025512695,4.078191824720067,7.301120758056638,17.309319739248235,16.27979278564453,3.8041257314022823,23.246953487396233,4.419584991106021,4.232978820800781,0.9974638459217147,5.185537338256833,9777.575058563083,10001.374316215515,578.6339194467109,10057.773082256317,0.499866935483871,0.758,0.4548300267513068,0.9858,5.593356582920035,19.662105865919546,292530355.2557284,293720064.0,0.49040056384338254,2.097977505929697,245731441.25060105,252955852.8,278.97868657658427,280.11328125,234.34776425418954,241.2375
hybrid,fault_free,5,0.0,0.0,,34.0,0.0,0.0,,4.009622686049517,3.923344612121582,0.36444099359007576,4.485604763031004,,,,,,,,,,,,,0.010625,0.0,0.02742339449073076,0.0596,4.143022071948889,6.508751020436245,290816351.7987422,292475699.2,0.4765614362364315,2.218795543959346,241265582.3054088,245107097.6,277.34408550142496,278.9265625,230.0887892774666,233.75234375
hybrid,fault_sustained,5,23.4,23.4,1.0,2215.8,2114355.722,423233.2191672587,0.9873351120230287,4.103734406095185,3.9769887924194336,0.9076819916770056,4.354264736175537,16.617481172948644,16.59703254699707,1.6377796101468387,18.22366952896118,4.5061881127564805,4.427647590637207,0.6297358488600235,4.646577835083008,9935.438360856926,9999.808835983276,324.0256309641002,10047.652311325073,0.6871834677419354,0.9269999999999999,0.41460083084171584,0.9968999999999999,4.809997286050981,7.1260542468916315,300172075.3086538,301096140.8,0.5263048961187483,2.2359336542303163,243733117.95990762,247852236.8,286.2663987242258,287.14765625,232.4420146559788,236.3703125
